STOPMODENAME, STATIONNAME, SE_ANNO_CAD_DATA, METLINKSTOPID, ZONES, STATIONTYPE
"Train","Sunbury",null,"15351","2","Premium"
"Train","Somerville",null,"19833","2","Unmanned"
"Train","Laverton",null,"19923","1,2","Premium"
"Train","Aircraft",null,"19924","2","Unmanned"
"Train","Westona",null,"19925","1,2","Unmanned"
"Train","Altona",null,"19926","1,2","Unmanned"
"Train","Seaholme",null,"19927","1","Unmanned"
"Train","Westgarth",null,"19928","1","Unmanned"
"Train","Dennis",null,"19929","1","Unmanned"
"Train","Fairfield",null,"19930","1","Host"
"Train","Alphington",null,"19931","1","Unmanned"
"Train","Darebin",null,"19932","1","Unmanned"
"Train","Baxter",null,"19834","2","Unmanned"
"Train","Ivanhoe",null,"19933","1,2","Premium"
"Train","Eaglemont",null,"19934","1,2","Unmanned"
"Train","Heidelberg",null,"19935","1,2","Premium"
"Train","Rosanna",null,"19936","2","Unmanned"
"Train","Moorabbin",null,"19937","2","Premium"
"Train","Patterson",null,"19938","2","Unmanned"
"Train","Bentleigh",null,"19939","1,2","Premium"
"Train","McKinnon",null,"19940","1,2","Host"
"Train","Ormond",null,"19941","1,2","Host"
"Train","Glenhuntly",null,"19942","1","Host"
"Train","Glen Iris",null,"19835","1","Unmanned"
"Train","Caulfield",null,"19943","1","Premium"
"Train","Malvern",null,"19944","1","Host"
"Train","Armadale",null,"19945","1","Host"
"Train","Toorak",null,"19946","1","Host"
"Train","Hawksburn",null,"19947","1","Host"
"Train","Sandringham",null,"19948","2","Premium"
"Train","Hampton",null,"19949","2","Unmanned"
"Train","Brighton Beach",null,"19950","1,2","Premium"
"Train","Middle Brighton",null,"19951","1,2","Host"
"Train","North Brighton",null,"19952","1,2","Host"
"Train","Leawarra",null,"19836","2","Unmanned"
"Train","Gardenvale",null,"19953","1","Unmanned"
"Train","Elsternwick",null,"19954","1","Premium"
"Train","Ripponlea",null,"19955","1","Host"
"Train","Balaclava",null,"19956","1","Premium"
"Train","Windsor",null,"19957","1","Host"
"Train","Prahran",null,"19958","1","Host"
"Train","South Yarra",null,"19959","1","Premium"
"Train","Upfield",null,"19960","2","Premium"
"Train","Gowrie",null,"19961","2","Premium"
"Train","Fawkner",null,"19962","1,2","Unmanned"
"Train","Darling",null,"19837","1,2","Premium"
"Train","Merlynston",null,"19963","1,2","Host"
"Train","Batman",null,"19964","1,2","Unmanned"
"Train","Coburg",null,"19965","1","Premium"
"Train","Moreland",null,"19966","1","Unmanned"
"Train","Anstey",null,"19967","1","Unmanned"
"Train","Brunswick",null,"19968","1","Unmanned"
"Train","Jewell",null,"19969","1","Unmanned"
"Train","Royal Park",null,"19970","1","Unmanned"
"Train","Flemington Bridge",null,"19971","1","Unmanned"
"Train","Macaulay",null,"19972","1","Unmanned"
"Train","East Malvern",null,"19838","1,2","Premium"
"Train","North Melbourne",null,"19973","1","Premium"
"Train","Clifton Hill",null,"19974","1","Premium"
"Train","Victoria Park",null,"19975","1","Unmanned"
"Train","Collingwood",null,"19976","1","Unmanned"
"Train","North Richmond",null,"19977","1","Unmanned"
"Train","West Richmond",null,"19978","1","Unmanned"
"Train","Jolimont-MCG",null,"19979","1","Host"
"V/Line Train","Melton",null,"19980","2,Reg"," "
"V/Line Train","Rockbank",null,"19981","2,Reg"," "
"V/Line Train","Deer Park",null,"19982","2,Reg"," "
"Train","Holmesglen",null,"19839","1,2","Host"
"Train","Macleod",null,"19983","2","Premium"
"Train","Watsonia",null,"19984","2","Premium"
"Train","Greensborough",null,"19985","2","Premium"
"Train","Montmorency",null,"19986","2","Unmanned"
"Train","Eltham",null,"19987","2","Premium"
"Train","Diamond Creek",null,"19988","2","Unmanned"
"Train","Wattle Glen",null,"19989","2","Unmanned"
"Train","Hurstbridge",null,"19990","2","Host"
"Train","Williamstown",null,"19991","1","Premium"
"Train","Williamstown Beach",null,"19992","1","Unmanned"
"Train","Jordanville",null,"19840","2","Unmanned"
"Train","North Williamstown",null,"19993","1","Unmanned"
"Train","Newport",null,"19994","1","Premium"
"Train","Spotswood",null,"19995","1","Host"
"Train","Yarraville",null,"19996","1","Host"
"Train","Seddon",null,"19997","1","Unmanned"
"V/Line Train","Sunbury",null,"19998","2,Reg"," "
"V/Line Train","Diggers Rest",null,"19999","2,Reg"," "
"Train","Watergardens",null,"20000","2","Premium"
"Train","Keilor Plains",null,"20001","2","Unmanned"
"Train","St Albans",null,"20002","2","Premium"
"Train","Flagstaff",null,"19841","1","Premium"
"Train","Ginifer",null,"20003","2","Unmanned"
"Train","Albion",null,"20004","1,2","Host"
"Train","Epping",null,"20005","2","Premium"
"Train","Lalor",null,"20006","2","Unmanned"
"Train","Thomastown",null,"20007","2","Premium"
"Train","Keon Park",null,"20008","2","Unmanned"
"Train","Ruthven",null,"20009","2","Unmanned"
"Train","Reservoir",null,"20010","1,2","Premium"
"Train","Regent",null,"20011","1,2","Host"
"Train","Preston",null,"20012","1,2","Premium"
"Train","Melbourne Central",null,"19842","1","Premium"
"Train","Bell",null,"20013","1","Premium"
"Train","Thornbury",null,"20014","1","Unmanned"
"Train","Croxton",null,"20015","1","Unmanned"
"Train","Northcote",null,"20016","1","Unmanned"
"Train","Merri",null,"20017","1","Unmanned"
"Train","Rushall",null,"20019","1","Unmanned"
"V/Line Train","Ardeer",null,"20020","2,Reg"," "
"Train","Sunshine",null,"20021","1,2","Premium"
"Train","Tottenham",null,"20022","1","Host"
"Train","West Footscray",null,"20023","1","Unmanned"
"Train","Diggers Rest",null,"15353","2"," "
"Train","Parliament",null,"19843","1","Premium"
"Train","Middle Footscray",null,"20024","1","Unmanned"
"Train","Footscray",null,"20025","1","Premium"
"Train","South Kensington",null,"20026","1","Unmanned"
"V/Line Train","Craigieburn",null,"20029","2,Reg"," "
"Train","Broadmeadows",null,"20030","2","Premium"
"Train","Jacana",null,"20031","2","Unmanned"
"Train","Glenroy",null,"20032","1,2","Premium"
"Train","Oak Park",null,"20033","1,2","Unmanned"
"Train","Pascoe Vale",null,"20034","1,2","Unmanned"
"Train","Strathmore",null,"20035","1","Unmanned"
"Train","Belgrave",null,"19844","2","Premium"
"Train","Glenbervie",null,"20036","1","Unmanned"
"Train","Essendon",null,"20037","1","Premium"
"Train","Moonee Ponds",null,"20038","1","Host"
"Train","Ascot Vale",null,"20039","1","Unmanned"
"Train","Newmarket",null,"20040","1","Unmanned"
"Train","Kensington",null,"20041","1","Host"
"Train","Box Hill",null,"20042","2","Premium"
"V/Line Train","Southern Cross",null,"20043","1,Reg","Premium"
"Train","Tecoma",null,"19845","2","Unmanned"
"V/Line Train","Bacchus Marsh",null,"20290","2,3,Reg"," "
"V/Line Train","Ballan",null,"20292","4,5,Reg"," "
"V/Line Train","Broadford",null,"20298","4,5,Reg"," "
"Train","Upwey",null,"19846","2","Unmanned"
"V/Line Train","Bunyip",null,"20299","4,5,Reg"," "
"V/Line Train","Clarkefield",null,"20303","2,Reg"," "
"V/Line Train","Corio",null,"20305","3,4,Reg"," "
"V/Line Train","Donnybrook",null,"20307","2"," "
"V/Line Train","Drouin",null,"20308","6,Reg"," "
"Train","Alamein",null,"19847","1","Unmanned"
"V/Line Train","Garfield",null,"20313","4,5,Reg"," "
"V/Line Train","Geelong",null,"20314","4,Reg"," "
"V/Line Train","Gisborne",null,"20315","3,4,Reg"," "
"V/Line Train","Heathcote Junction",null,"20316","2"," "
"Train","Ashburton",null,"19848","1","Premium"
"V/Line Train","Kilmore East",null,"20319","3,4,Reg"," "
"V/Line Train","Kyneton",null,"20320","6,7,Reg"," "
"V/Line Train","Lara",null,"20321","2,3,4"," "
"V/Line Train","Little River",null,"20323","2"," "
"V/Line Train","Longwarry",null,"20324","5,6,Reg"," "
"V/Line Train","Macedon",null,"20325","3,4,Reg"," "
"V/Line Train","Malmsbury",null,"20326","7,8,Reg"," "
"V/Line Train","Marshall",null,"20327","4,Reg"," "
"Train","Burwood",null,"19849","1","Host"
"V/Line Train","Nar Nar Goon",null,"20333","3,4,Reg"," "
"V/Line Train","North Geelong",null,"20334","3,4,Reg"," "
"V/Line Train","North Shore",null,"20335","3,4,Reg"," "
"V/Line Train","Riddells Creek",null,"20337","2,3,Reg"," "
"Train","Hartwell",null,"19850","1","Unmanned"
"V/Line Train","South Geelong",null,"20344","4,Reg"," "
"Train","Willison",null,"19851","1","Unmanned"
"V/Line Train","Tynong",null,"20352","3,4,Reg"," "
"V/Line Train","Wandong",null,"20355","2"," "
"V/Line Train","Warragul",null,"20357","6,7,Reg"," "
"V/Line Train","Woodend",null,"20361","4,5,Reg"," "
"Train","Riversdale",null,"19852","1","Unmanned"
"V/Line Train","Wallan",null,"17204","2"," "
"Train","Camberwell",null,"19853","1","Premium"
"Train","Southern Cross",null,"22180","1","Premium"
"V/Line Train","Flinders Street",null,"22238","1,Reg"," "
"V/Line Train","North Melbourne",null,"22239","1,Reg"," "
"V/Line Train","Footscray",null,"22240","1,Reg"," "
"V/Line Train","Sunshine",null,"22241","1,2,Reg"," "
"V/Line Train","Ginifer",null,"22242","2,Reg"," "
"Train","Flinders Street",null,"19854","1","Premium"
"V/Line Train","St Albans",null,"22243","2,Reg"," "
"V/Line Train","Watergardens",null,"22244","2,Reg"," "
"V/Line Train","Richmond",null,"22247","1,Reg"," "
"V/Line Train","Caulfield",null,"22248","1,Reg"," "
"V/Line Train","Clayton",null,"22249","2,Reg"," "
"V/Line Train","Dandenong",null,"22250","2,Reg"," "
"V/Line Train","Berwick",null,"22251","2,Reg"," "
"V/Line Train","Pakenham",null,"22252","2,Reg"," "
"V/Line Train","Essendon",null,"22253","1,Reg"," "
"V/Line Train","Broadmeadows",null,"22254","2,Reg"," "
"Train","Frankston",null,"19855","2","Premium"
"Train","Roxburgh Park",null,"40220","2","Unmanned"
"Train","Craigieburn",null,"40221","2","Premium"
"Train","Coolaroo",null,"44817","2","Unmanned"
"Train","Lynbrook",null,"45793","2","Unmanned"
"Train","Kananook",null,"19856","2","Unmanned"
"Train","Cardinia Road",null,"45794","2","Unmanned"
"Train","South Morang",null,"45795","2","Premium"
"Train","Williams Landing",null,"46468","2","Premium"
"V/Line Train","Waurn Ponds",null,"47641","4,Reg"," "
"V/Line Train","Wyndham Vale",null,"47647","2,Reg"," "
"V/Line Train","Tarneit",null,"47648","2,Reg"," "
"V/Line Train","Caroline Springs",null,"52011","2,Reg"," "
"Train","Flemington Racecourse",null,"20027","1","Unmanned"
"Train","Seaford",null,"19857","2","Unmanned"
"Train","Showgrounds",null,"20028","1","Unmanned"
"Train","Carrum",null,"19858","2","Premium"
"Train","Bonbeach",null,"19859","2","Unmanned"
"Train","Chelsea",null,"19860","2","Unmanned"
"Train","Edithvale",null,"19861","2","Unmanned"
"Train","Aspendale",null,"19862","2","Unmanned"
"Train","Stony Point",null,"19827","2","Unmanned"
"Train","Mordialloc",null,"19863","2","Premium"
"Train","Parkdale",null,"19864","2","Unmanned"
"Train","Mentone",null,"19865","2","Premium"
"Train","Cheltenham",null,"19866","2","Premium"
"Train","Upper Ferntree Gully",null,"19867","2","Premium"
"Train","Ferntree Gully",null,"19868","2","Premium"
"Train","Boronia",null,"19869","2","Premium"
"Train","Bayswater",null,"19870","2","Premium"
"Train","Heathmont",null,"19871","2","Unmanned"
"Train","Highett",null,"19872","2","Unmanned"
"Train","Crib Point",null,"19828","2","Unmanned"
"Train","Glen Waverley",null,"19873","2","Premium"
"Train","Syndal",null,"19874","2","Host"
"Train","Mount Waverley",null,"19875","2","Premium"
"Train","Lilydale",null,"19876","2","Premium"
"Train","Mooroolbark",null,"19877","2","Premium"
"Train","Croydon",null,"19878","2","Premium"
"Train","Ringwood East",null,"19879","2","Unmanned"
"Train","Pakenham",null,"19880","2","Premium"
"Train","Officer",null,"19881","2","Unmanned"
"Train","Beaconsfield",null,"19882","2","Unmanned"
"Train","Morradoo",null,"19829","2","Unmanned"
"Train","Berwick",null,"19883","2","Premium"
"Train","Narre Warren",null,"19884","2","Premium"
"Train","Hallam",null,"19885","2","Unmanned"
"Train","Cranbourne",null,"19886","2","Premium"
"Train","Merinda Park",null,"19887","2","Unmanned"
"Train","Dandenong",null,"19888","2","Premium"
"Train","Yarraman",null,"19889","2","Unmanned"
"Train","Noble Park",null,"19890","2","Premium"
"Train","Sandown Park",null,"19891","2","Host"
"Train","East Camberwell",null,"19892","1","Unmanned"
"Train","Bittern",null,"19830","2","Unmanned"
"Train","Canterbury",null,"19893","1,2","Host"
"Train","Chatham",null,"19894","1,2","Unmanned"
"Train","Surrey Hills",null,"19895","1,2","Premium"
"Train","Mont Albert",null,"19896","1,2","Unmanned"
"Train","Laburnum",null,"19897","2","Unmanned"
"Train","Blackburn",null,"19898","2","Premium"
"Train","Nunawading",null,"19899","2","Premium"
"Train","Mitcham",null,"19900","2","Premium"
"Train","Heatherdale",null,"19901","2","Host"
"Train","Ringwood",null,"19902","2","Premium"
"Train","Hastings",null,"19831","2","Unmanned"
"Train","Auburn",null,"19903","1","Host"
"Train","Glenferrie",null,"19904","1","Premium"
"Train","Hawthorn",null,"19905","1","Host"
"Train","Burnley",null,"19906","1","Premium"
"Train","East Richmond",null,"19907","1","Unmanned"
"Train","Richmond",null,"19908","1","Premium"
"Train","Heyington",null,"19909","1","Unmanned"
"Train","Kooyong",null,"19910","1","Unmanned"
"Train","Tooronga",null,"19911","1","Host"
"Train","Gardiner",null,"19912","1","Host"
"Train","Tyabb",null,"19832","2","Unmanned"
"Train","Springvale",null,"19913","2","Premium"
"Train","Westall",null,"19914","2","Premium"
"Train","Clayton",null,"19915","2","Premium"
"Train","Huntingdale",null,"19916","1,2","Host"
"Train","Oakleigh",null,"19917","1,2","Premium"
"Train","Hughesdale",null,"19918","1,2","Host"
"Train","Murrumbeena",null,"19919","1","Host"
"Train","Carnegie (Temporarily Closed)",null,"19920","1","Host"
"Train","Werribee",null,"19921","2","Premium"
"Train","Hoppers Crossing",null,"19922","2","Host"
